DICTIONARY OVERLAP REVIEW - ALL 26,721 WORDS
============================================================

SUMMARY:
Total overlapping words: 26,721
Found in first names: 21,430
Found in last names: 13,512
Found in both: 8,221

CLAUDE'S RECOMMENDATIONS:
SUGGESTED REMOVALS: 78 words
SUGGESTED KEEPS: 26643 words
UNCERTAIN/NEED REVIEW: 15 words

REMOVE (78 words):
----------------------------------------
  arm         , bed         , bike        , blue        , boat        , buffalo     , bus         , cat         , chest       , cow         
  birk        , birks       , birky       , birles      , birma       , birmingham  , biron       , birr        , birses      , birt        
  birth       , bis         , biscuits    , bise        , bish        , bishop      , bismar      , bismarck    , bismark     , bismillah   
  bison       , bisso       , bisson      , bist        , bister      , bisti       , bistro      , bit         , bite        , biter       
  biti        , bito        , bits        , bitsy       , bitte       , bitten      , bitter      , bitters     , bitting     , bittor      
  bitts       , bitty       , bixa        , biz         , bizz        , bizzarro    , bk          , bks         , bl          , black       
  blackbird   , blacker     , blackie     , blacklist   , blackly     , blackman    , blacks      , blacksmith  , blackwater  , blackwood   
  blacky      , blad        , blade       , blades      , blady       , blain       , blaine      , blair       , blake       , blam        
  blameless   , blamer      , blan        , blanc       , blanca      , blanch      , blanche     , blancher    , blanchi     , blanco      
  bland       , blanda      , blank       , blanks      , blanky      , blare       , blarney     , blas        , blase       , blash       
  blasia      , blaster     , blasting    , blatch      , blatter     , blay        , blayne      , blaze       , blazer      , blazing     
  blazon      , bldr        , blea        , bleach      , bleacher    , bleak       , blear       , bleck       , bled        , blee        
  blend       , blende      , blender     , blendor     , blent       , bless       , blessed     , blesser     , blessing    , blessings   
  blest       , bleu        , blew        , blick       , blier       , blight      , blin        , blind       , blinder     , blinds      
  blini       , blink       , blinking    , blinks      , blinky      , bliss       , blissful    , blitz       , blizz       , blizzard    
  blk         , blo         , blob        , block       , blocker     , blocks      , blok        , blond       , blonde      , blonder     
  blondine    , blood       , bloom       , bloomer     , blooming    , blooms      , blore       , blossom     , blot        , blotter     
  blouse      , blow        , blower      , blowers     , blub        , blucher     , bluebird    , blues       , bluestone   , blueth      
  bluey       , blume       , blunk       , blunt       , blur        , blurry      , blush       , bm          , bn          , bo          
  boa         , boanerges   , boar        , boardman    , boards      , boarts      , boas        , boast       , boating     , boatman     
  boatswain   , boatwright  , bob         , boba        , bobbie      , bobbin      , bobby       , bobcat      , bobet       , bobo        
  bobs        , boc         , boca        , bocage      , bocardo     , bocca       , boccaccio   , bocci       , boccia      , boce        
  boche       , bock        , bod         , bode        , bodega      , bodegas     , boden       , bodge       , bodhi       , bodhisattva 
  bodily      , bodkin      , bodkins     , bodle       , bodo        , body        , boe         , boeing      , boer        , boers       
  boettner    , boff        , bog         , boga        , bogan       , bogans      , bogard      , bogart      , bogey       , boggy       
  bogie       , bogle       , bogo        , bogomil     , bogs        , bogue       , bogus       , bogy        , boh         , bohemia     
  boho        , boii        , boiko       , boil        , boiler      , boing       , bois        , boise       , boisseau    , boite       
  bojo        , boke        , boko        , bol         , bola        , bolar       , bolas       , bold        , bolden      , bolder      
  boldin      , bolding     , bole        , boled       , bolero      , boles       , bolis       , bolita      , bolivar     , bolivia     
  bolivian    , bolk        , boll        , bollard     , bollen      , boller      , bolling     , bollock     , bolls       , bolly       
  bolo        , bologna     , bolognese   , bolos       , bolson      , bolster     , bolt        , bolter      , boltin      , bolus       
  bom         , boma        , bombard     , bombardier  , bombay      , bomber      , bombo       , bomi        , bon         , bona        
